Simulation Count,Average Cost,Error,Percent Error,,
1000,25261.5,251.8965977362,0.9971561377,,
2000,25441.3,72.0965977362,0.2833840949,,25513.3965977362
3000,25536.533333,23.1367352638,0.0906024908,,
4000,25510.5,2.8965977362,0.0113545314,,
5000,25383.04,130.3565977362,0.5135578628,,
6000,25299.683333,213.7132647362,0.8447270344,,
7000,25424.6,88.7965977362,0.34925465,,
8000,25344.5375,168.8590977362,0.6662544059,,
9000,25414.733333,98.6632647362,0.3882128663,,
10000,25581.8,68.4034022638,0.2673908883,,
11000,25543.627273,30.2306752638,0.1183491872,,
12000,25451.875,61.5215977362,0.2417173498,,
13000,25438.523077,74.8735207362,0.2943312413,,
14000,25507.364286,6.0323117362,0.0236492946,,
15000,25464.56,48.8365977362,0.1917826098,,
16000,25456.45,56.9465977362,0.2237020391,,
17000,25552.547059,39.1504612638,0.1532154942,,
18000,25416.383333,97.0132647362,0.3816957884,,
19000,25423.378947,90.0176507362,0.3540742988,,
20000,25576.18,62.7834022638,0.2454760729,,
21000,25459.652381,53.7442167362,0.2110956424,,
22000,25520.568182,7.1715842638,0.0281011936,,
23000,25602.856522,89.4599242638,0.3494138405,,
24000,25508.779167,4.6174307362,0.0181013396,,
25000,25464.884,48.5125977362,0.1905078293,,
26000,25546.392308,32.9957102638,0.1291599607,,
27000,25545.318519,31.9219212638,0.124961923,,
28000,25533.857143,20.4605452638,0.0801310399,,
29000,25568.706897,55.3102992638,0.2163202836,,
30000,25502.133333,11.2632647362,0.0441659707,,
31000,25474.845161,38.5514367362,0.1513313879,,
32000,25522.0625,8.6659022638,0.0339545531,,
33000,25542.463636,29.0670382638,0.1137988828,,
34000,25553.447059,40.0504612638,0.1567321277,,
35000,25493,20.3965977362,0.0800086209,,
36000,25444.952778,68.4438197362,0.2689878041,,
37000,25642.962162,129.5655642638,0.5052675406,,
38000,25575.036842,61.6402442638,0.2410172257,,
39000,25389.525641,123.8709567362,0.4878821231,,
40000,25483.14,30.2565977362,0.1187318271,,
41000,25521.229268,7.8326702638,0.0306908033,,
42000,25428.75,84.6465977362,0.3328775411,,
43000,25554.995349,41.5987512638,0.1627812907,,
44000,25625.484091,112.0874932638,0.4374063447,,
45000,25501.704444,11.6921537362,0.0458485187,,
46000,25535.828261,22.4316632638,0.0878438836,,
47000,25569.540426,56.1438282638,0.2195730832,,
48000,25434.160417,79.2361807362,0.3115344853,,
49000,25630.6,117.2034022638,0.4572791986,,
50000,25559.398,46.0014022638,0.1799784262,,
51000,25688.633333,175.2367352638,0.6821567072,,
52000,25501.505769,11.8908287362,0.0466279476,,
53000,25572.420755,59.0241572638,0.2308117711,,
54000,25566.977778,53.5811802638,0.2095718185,,
55000,25473.981818,39.4147797362,0.1547256335,,
56000,25547.233929,33.8373312638,0.132450078,,
57000,25513.615789,0.2191912638,0.0008591149,,
58000,25559.032759,45.6361612638,0.1785519886,,
59000,25480.161017,33.2355807362,0.1304370907,,
60000,25514,0.6034022638,0.002364985,,
61000,25524.455738,11.0591402638,0.0433276242,,
62000,25569.593548,56.1969502638,0.2197803816,,
63000,25522.826984,9.4303862638,0.0369488312,,
64000,25425.296875,88.0997227362,0.3465042047,,
65000,25507.446154,5.9504437362,0.0233282615,,
66000,25521.593939,8.1973412638,0.0321192371,,
67000,25493.755224,19.6413737362,0.0770438626,,
68000,25475.797059,37.5995387362,0.1475892536,,
69000,25452.586957,60.8096407362,0.2389133994,,
70000,25422.365714,91.0308837362,0.3580740076,,
71000,25490.514085,22.8825127362,0.0897687377,,
72000,25503.205556,10.1910417362,0.0399598463,,
73000,25514.709589,1.3129912638,0.0051460169,,
74000,25485.321622,28.0749757362,0.1101613554,,
75000,25521.854667,8.4580692638,0.0331404962,,
76000,25457.731579,55.6650187362,0.2186566331,,
77000,25484.044156,29.3524417362,0.1151796848,,
78000,25527.571795,14.1751972638,0.0555289684,,
79000,25508.622785,4.7738127362,0.018714506,,
80000,25486.41375,26.9828477362,0.1058714969,,
81000,25530.919753,17.5231552638,0.0686350333,,
82000,25443.469512,69.9270857362,0.2748331382,,
83000,25510.956627,2.4399707362,0.0095644031,,
84000,25542.909524,29.5129262638,0.1155425393,,
85000,25526.842353,13.4457552638,0.0526730062,,
86000,25422.065116,91.3314817362,0.3592606711,,
87000,25515.424138,2.0275402638,0.0079463318,,
88000,25580.048864,66.6522662638,0.260563483,,
89000,25550.941573,37.5449752638,0.1469416505,,
90000,25514.817778,1.4211802638,0.0055700193,,
91000,25498.017582,15.3790157362,0.0603145546,,
92000,25498.776087,14.6205107362,0.0573380883,,
93000,25477.033333,36.3632647362,0.1427295881,,
94000,25570.423404,57.0268062638,0.2230186234,,
95000,25529.876842,16.4802442638,0.0645527762,,
96000,25517.897917,4.5013192638,0.0176398514,,
97000,25502.672165,10.7244327362,0.0420521923,,
98000,25538.395918,24.9993202638,0.0978891562,,
99000,25486.7,26.6965977362,0.104747173,,
100000,25571.102,57.7054022638,0.2256664662,,
101000,25502.566337,10.8302607362,0.0424673368,,
102000,25439.172549,74.2240487362,0.2917706879,,
103000,25517.76699,4.3703922638,0.0171268601,,
104000,25471.989423,41.4071747362,0.1625596417,,
105000,25508.354286,5.0423117362,0.0197672954,,
106000,25547.509434,34.1128362638,0.1335270522,,
107000,25470.48972,42.9068777362,0.1684572154,,
108000,25511.825926,1.5706717362,0.0061566418,,
109000,25484.845872,28.5507257362,0.1120302076,,
110000,25568.328182,54.9315842638,0.2148422997,,
111000,25536.331532,22.9349342638,0.0898129562,,
112000,25505.664286,7.7323117362,0.0303160571,,
113000,25501.806195,11.5904027362,0.0454493405,,
114000,25488.689474,24.7071237362,0.0969336763,,
115000,25502.106957,11.2896407362,0.0442694431,,
116000,25524.364655,10.9680572638,0.0429709315,,
117000,25519.281197,5.8845992638,0.023059424,,
118000,25525.017797,11.6211992638,0.0455286627,,
119000,25541.094118,27.6975202638,0.108442967,,
120000,25476.33,37.0665977362,0.1454942597,,
121000,25501.614876,11.7817217362,0.0461999046,,
122000,25467.921311,45.4752867362,0.1785590829,,
123000,25504.433333,8.9632647362,0.0351439478,,
124000,25566.057258,52.6606602638,0.2059788091,,
125000,25544.5504,31.1538022638,0.1219587026,,
126000,25537.400794,24.0041962638,0.0939962389,,
127000,25468.126772,45.2698257362,0.1777509047,,
128000,25528.901563,15.5049652638,0.0607349487,,
129000,25509.514729,3.8818687362,0.0152173367,,
130000,25503.367692,10.0289057362,0.0393238487,,
131000,25521.458015,8.0614172638,0.031586821,,
132000,25558.453788,45.0571902638,0.1762907515,,
133000,25466.589474,46.8071237362,0.1837981634,,
134000,25549.329851,35.9332532638,0.1406426449,,
135000,25455.637778,57.7588197362,0.2268999121,,
136000,25555.122059,41.7254612638,0.1632763137,,
137000,25517.154015,3.7574172638,0.014725064,,
138000,25515.35942,1.9628222638,0.0076927087,,
139000,25560.969065,47.5724672638,0.1861137078,,
140000,25545.609286,32.2126882638,0.1260987276,,
141000,25504.550355,8.8462427362,0.0346849586,,
142000,25552.077465,38.6808672638,0.1513805181,,
143000,25545.772028,32.3754302638,0.1267349847,,
144000,25536.575,23.1784022638,0.0907655089,,
145000,25480.562069,32.8345287362,0.128861085,,
146000,25493.246575,20.1500227362,0.0790406301,,
147000,25525.54898,12.1523822638,0.0476087009,,
148000,25507.639189,5.7574087362,0.0225713117,,
149000,25560.996644,47.6000462638,0.1862214018,,
150000,25537.102667,23.7060692638,0.0928299094,,
